Location,Trending Job Searches 
"Lima, Peru",Construction worker
"Lima, Peru",Welder
"Lima, Peru",Customer care representitive 
"Lima, Peru",Electrician
"Lima, Peru",Plumber
"Lagos, Nigeria ",Software developer
"Lagos, Nigeria ",Digital marketing
"Lagos, Nigeria ",Sales representative
"Lagos, Nigeria ",Customer service
"Lagos, Nigeria ",Healthcare professionals
"Accra, Ghana",Waiter
"Accra, Ghana",sales engineer 
"Accra, Ghana",IT Project Officer 
"Accra, Ghana",Cable Technician 
"Accra, Ghana",Telesales Agent 
"Mexico City, Mexico",Resource management agent 
"Mexico City, Mexico",Customer care representitive 
"Mexico City, Mexico",Host/Hostess
"Mexico City, Mexico",Plumber 
"Mexico City, Mexico",Project Manager
